,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,ID,Constant,Metric,Theory,Parent ID,Method
37,-2034.79791681167,ACO,NCCN,1,137503311,P,opt,FF,83510402,"FF (opt, P)"
67,-1232.216981153251,ACO,NCCN,1,137443660,V,opt,FF,83510402,"FF (opt, V)"
82,-703.010474322763,ACO,NCCN,2,137444105,P,opt,FF,83510404,"FF (opt, P)"
89,-608.0682997363645,ACO,NCCN,2,137369344,V,opt,FF,83510404,"FF (opt, V)"
93,-448.9266248541325,SOD,CCN,1,137448244,P,opt,FF,83493429,"FF (opt, P)"
95,-439.08239195042574,SOD,CCN,1,137448244,P,MD,FF,83493429,"FF (MD, P)"
96,-438.0515373418568,SOD,CCN,1,137448246,P,MD,FF,83493431,"FF (MD, P)"
101,-403.94230305538537,SOD,c1c[nH]cn1,1,137256445,P,opt,FF,83497236,"FF (opt, P)"
104,-394.30836316010164,SOD,c1c[nH]cn1,1,137256445,P,MD,FF,83497236,"FF (MD, P)"
105,-387.70023996621984,ACO,NCCN,3,137367740,V,opt,FF,83510407,"FF (opt, V)"
106,-380.08771063998887,ACO,NCCN,3,137351397,V,opt,FF,83510408,"FF (opt, V)"
116,-301.6545381513724,ACO,NCCN,3,137444108,P,opt,FF,83510407,"FF (opt, P)"
118,-285.01165704952126,ACO,NCCN,3,137444110,P,opt,FF,83510408,"FF (opt, P)"
129,-251.1903460245338,RHO,C1COCCOCCOCCOCCOCCO1,2,137498889,P,frz,FF,87649914,"FF (frz, P)"
135,-234.64798432526928,RTH,C1CCCNCC1,1,137363043,V,MD,FF,83597291,"FF (MD, V)"
137,-233.27775836814482,LTA,C1COCCOCCOCCOCCOCCN1,1,137448265,P,frz,FF,83490078,"FF (frz, P)"
138,-231.66858398901317,BPH,CCN(CC)CC,1,137443728,P,opt,FF,83513275,"FF (opt, P)"
141,-229.20368616776165,CHA,CN1CCCC1,2,137440902,P,opt,FF,87638706,"FF (opt, P)"
143,-227.75850980970768,AFI,C1CN2CCN1CC2,1,137440640,P,opt,FF,83524052,"FF (opt, P)"
158,-216.3659635049606,AFI,C1CN2CCN1CC2,1,137440640,P,MD,FF,83524052,"FF (MD, P)"
161,-214.46981110188034,LTA,C1COCCOCCOCCOCCOCCN1,1,137328898,V,frz,FF,83490078,"FF (frz, V)"
168,-209.50415090261842,RTE,CN1C(C)(C)CCCC1(C)C,1,137317842,V,opt,FF,83494076,"FF (opt, V)"
172,-207.00653105134535,RTE,CN1C(C)(C)CCCC1(C)C,1,137330832,V,opt,FF,83494077,"FF (opt, V)"
173,-204.06044750432113,SOD,NCCN,1,137444167,P,MD,FF,83528921,"FF (MD, P)"
