Guest ID,Guest SMILES
1,CN
2,CNC
3,CCN
4,NCCN
5,CCCN
6,CCNC
7,CCNCC
8,NCCCN
9,CCCCN
10,CC(C)N
11,CN(C)C
12,CP(C)C
13,CCCNCCC
14,C1CCNC1
15,CCN(C)C
16,CC(C)CN
17,NCCNCCN
18,C1CCNCC1
19,C1COCCN1
20,c1ccncc1
21,C1CNCCN1
22,CN1CCCC1
23,Cn1ccnc1
24,NC1CCCC1
25,C1CNCCNC1
26,CN1CCNCC1
27,CCN(CC)CC
28,C1CCCNCC1
29,CCP(CC)CC
30,NC1CCCCC1
31,CC1CCNCC1
32,CN1CCCCC1
33,c1c[nH]cn1
34,NCCNCCNCCN
35,C1CCCNCCC1
36,CC(C)NC(C)C
37,Cc1ncc[nH]1
38,C[C@H](N)CN
39,C1CN2CCN1CC2
40,CN(C)CCN(C)C
41,C1CN2CCC1CC2
42,OCCN(CCO)CCO
43,C[C@@H](N)CN
44,CN1CCN(C)CC1
45,CN(C)c1ccncc1
46,C[C@H](CN)CCCN
47,C[C@@H](CN)CCCN
48,CCN(C(C)C)C(C)C
49,CC(C)(C)CC(C)(C)N
50,C1N2CN3CN1CN(C2)C3
51,CN1C(C)(C)CCCC1(C)C
52,N[C@H]1CC[C@H](N)CC1
53,C1COCCOCCOCCOCCOCCN1
54,C1COCCOCCOCCOCCOCCO1
55,C[C@H]1CNC[C@H](C)C1
56,C[C@@H]1CNC[C@H](C)C1
57,C1C[C@H]2CC[C@@H]1CNC2
58,N[C@@H]1C[C@H]2CC[C@@H]1C2
59,CN1CCCN(C)CCN(C)CCCN(C)CC1
60,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
