crystal_id,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,Metric,Parent ID,Substrate Theory,Complex
137444154,-1249.5788759747936,ACO,NCCN,1,opt,83510401,DFT,"ACO,NCCN"
137371716,-66.28492715891691,ACO,NCCN,2,frz,83510405,DFT,"ACO,NCCN"
137352989,-32.62575819202427,ACO,NCCN,2,MD,83510406,DFT,"ACO,NCCN"
137335164,-326.9081021097564,AEL,CC(C)NC(C)C,1,MD,87639868,DFT,"AEL,CC(C)NC(C)C"
137319294,-157.13131455974377,AEL,CC(C)NC(C)C,2,opt,87639872,DFT,"AEL,CC(C)NC(C)C"
137319294,-152.95208639058768,AEL,CC(C)NC(C)C,2,frz,87639872,DFT,"AEL,CC(C)NC(C)C"
137331894,-121.53284018026314,AEL,CCNCC,1,frz,87638436,DFT,"AEL,CCNCC"
137447004,-210.28156680764963,AEL,CCNCC,2,MD,87638437,DFT,"AEL,CCNCC"
137352706,-139.22616736848795,AEL,CCNCC,2,opt,87638439,DFT,"AEL,CCNCC"
139585458,-130.24653518966636,AFI,N[C@H]1CC[C@H](N)CC1,1,frz,83514923,DFT,"AFI,N[C@H]1CC[C@H](N)CC1"
137368674,-138.63394870097548,AFI,N[C@H]1CC[C@H](N)CC1,1,opt,83514924,DFT,"AFI,N[C@H]1CC[C@H](N)CC1"
137368674,-106.60840867435054,AFI,N[C@H]1CC[C@H](N)CC1,1,MD,83514924,DFT,"AFI,N[C@H]1CC[C@H](N)CC1"
139594316,-135.98389459372981,AFI,N[C@H]1CC[C@H](N)CC1,1,opt,137442022,SLC,"AFI,N[C@H]1CC[C@H](N)CC1"
137444242,-138.51598575380086,AFI,N[C@H]1CC[C@H](N)CC1,1,frz,137442023,SLC,"AFI,N[C@H]1CC[C@H](N)CC1"
137444242,-113.19734867434506,AFI,N[C@H]1CC[C@H](N)CC1,1,MD,137442023,SLC,"AFI,N[C@H]1CC[C@H](N)CC1"
137349148,-130.6884543388208,AFI,C1CN2CCN1CC2,1,opt,83524051,DFT,"AFI,C1CN2CCN1CC2"
137349148,-100.303269721766,AFI,C1CN2CCN1CC2,1,frz,83524051,DFT,"AFI,C1CN2CCN1CC2"
137349148,-90.30876113740173,AFI,C1CN2CCN1CC2,1,MD,83524051,DFT,"AFI,C1CN2CCN1CC2"
137444243,-115.94222046883104,AFI,C1CN2CCN1CC2,1,opt,137442024,SLC,"AFI,C1CN2CCN1CC2"
137444243,-112.75278739487878,AFI,C1CN2CCN1CC2,1,frz,137442024,SLC,"AFI,C1CN2CCN1CC2"
137445993,-100.51218732383042,AFI,C1CN2CCN1CC2,1,MD,137442026,SLC,"AFI,C1CN2CCN1CC2"
137343326,-121.306502996608,AFI,C1CCNCC1,1,opt,83522558,DFT,"AFI,C1CCNCC1"
137343326,-90.97197027582067,AFI,C1CCNCC1,1,frz,83522558,DFT,"AFI,C1CCNCC1"
137337303,-81.22682932327571,AFI,C1CCNCC1,1,MD,83522559,DFT,"AFI,C1CCNCC1"
137444245,-116.11733649285502,AFI,C1CCNCC1,1,opt,137442027,SLC,"AFI,C1CCNCC1"
137444247,-105.06506434577166,AFI,C1CCNCC1,1,MD,137442029,SLC,"AFI,C1CCNCC1"
137444247,-99.16688689830485,AFI,C1CCNCC1,1,frz,137442029,SLC,"AFI,C1CCNCC1"
137322855,-122.24815047191612,AFI,C1CNCCNC1,1,opt,83511546,DFT,"AFI,C1CNCCNC1"
137443678,-102.0423644732659,AFI,C1CNCCNC1,1,frz,83511547,DFT,"AFI,C1CNCCNC1"
137443680,-94.43778855316106,AFI,C1CNCCNC1,1,MD,83511548,DFT,"AFI,C1CNCCNC1"
137447530,-125.65640259371317,AFI,C1CNCCNC1,1,opt,137442051,SLC,"AFI,C1CNCCNC1"
137447531,-122.45842972489952,AFI,C1CNCCNC1,1,MD,137442052,SLC,"AFI,C1CNCCNC1"
137447532,-120.57056607413082,AFI,C1CNCCNC1,1,frz,137442053,SLC,"AFI,C1CNCCNC1"
137443672,-88.99383025971173,AFI,CC(C)N,1,opt,83511534,DFT,"AFI,CC(C)N"
