ID,Framework,Total Energy (kJ/mol Si),Method,Optimizer
137344551,ABW,198.34670693126247,MD,BFGS + RFO (G < 0.15)
137344551,ABW,187.27583127039017,opt,BFGS + RFO (G < 0.15)
137352475,ABW,187.2758318734234,opt,BFGS + RFO (G < 0.05)
137326395,ABW,187.27583127039017,opt,Lower + RFO
137326395,ABW,199.1356941637862,MD,Lower + RFO
137352475,ABW,198.3592388348157,MD,BFGS + RFO (G < 0.05)
137328330,ACO,224.68900311634374,MD,Lower + RFO
137328330,ACO,287.6581124554957,opt,Lower + RFO
137342838,ACO,287.6516378686781,opt,BFGS + RFO (G < 0.05)
137328457,ACO,287.6582192526797,opt,CG + RFO (G < 0.10)
137328457,ACO,225.1781494198197,MD,CG + RFO (G < 0.10)
137342838,ACO,224.90600284374273,MD,BFGS + RFO (G < 0.05)
137349014,AEI,188.2517528668304,MD,BFGS + RFO (G < 0.05)
137349014,AEI,174.381723895389,opt,BFGS + RFO (G < 0.05)
137373128,AEI,188.19216552474307,MD,BFGS + RFO (G < 0.15)
137373128,AEI,173.74483425532685,opt,BFGS + RFO (G < 0.15)
137317670,AEI,173.74483427542793,opt,CG + RFO (G < 0.10)
137317670,AEI,188.25829914087242,MD,CG + RFO (G < 0.10)
137325864,AEI,188.35887301814438,MD,Lower + RFO
137325864,AEI,174.79786409785132,opt,Lower + RFO
137370622,AEL,180.11692445099743,MD,BFGS + RFO (G < 0.15)
137370622,AEL,167.17876261000671,opt,BFGS + RFO (G < 0.15)
137350267,AEL,167.69194205053012,opt,CG + RFO (G < 0.10)
137350267,AEL,180.15062146758507,MD,CG + RFO (G < 0.10)
137354109,AEL,181.49695230426946,MD,Lower + RFO
137354109,AEL,166.4201347051296,opt,Lower + RFO
137346143,AEL,169.93916386135257,opt,BFGS + RFO (G < 0.05)
137346143,AEL,183.22144762144106,MD,BFGS + RFO (G < 0.05)
137364007,AEN,193.51923977688315,MD,BFGS + RFO (G < 0.15)
137342556,AEN,180.6044810435621,opt,Lower + RFO
137342556,AEN,193.53410711630775,MD,Lower + RFO
137364007,AEN,179.68383196906166,opt,BFGS + RFO (G < 0.15)
137336928,AEN,192.69371598076413,MD,CG + RFO (G < 0.10)
137317832,AEN,179.6838301197598,opt,BFGS + RFO (G < 0.05)
137336928,AEN,177.77780087689658,opt,CG + RFO (G < 0.10)
137317832,AEN,193.15876232247257,MD,BFGS + RFO (G < 0.05)
137360041,AET,157.54556160600228,MD,Lower + RFO
137360041,AET,144.9186489730071,opt,Lower + RFO
137363761,AET,143.97127559002976,opt,CG + RFO (G < 0.10)
137363761,AET,158.2867708029318,MD,CG + RFO (G < 0.10)
137344826,AET,159.4311805846301,MD,BFGS + RFO (G < 0.15)
137344826,AET,144.94311768931206,opt,BFGS + RFO (G < 0.15)
137345081,AET,157.53303298851023,MD,BFGS + RFO (G < 0.05)
137345081,AET,143.4646738777866,opt,BFGS + RFO (G < 0.05)
137340411,AFG,195.00389718429602,MD,BFGS + RFO (G < 0.15)
137340411,AFG,199.4732566932692,opt,BFGS + RFO (G < 0.15)
137332206,AFG,197.96245743561906,opt,Lower + RFO
137336091,AFG,197.96245743561906,opt,BFGS + RFO (G < 0.05)
